gene,shap_importance
ITPR1,0.00080121687
KCNA5,0.0007985721
PLXNB2,0.00079849816
KCNH1,0.0007955813
PPRC1,0.000794971
PAK5,0.00078369625
PCDHA8,0.0007835757
PCDHA9,0.0007833425
STAB1,0.0007805061
HECW2,0.0007798049
MYH7B,0.000779329
PPP1R3A,0.00077817077
PEAK1,0.000777339
C2CD3,0.0007765071
WNK3,0.0007716024
SPATA31D1,0.0007699328
THBS2,0.000769193
SUPT6H,0.0007689171
PCDH18,0.0007512158
ZNF835,0.0007470387
MAGI2,0.0007468403
VPS13A,0.00074334134
PLXNA2,0.0007430616
ZFPM2,0.0007427219
ZIC1,0.0007398016
ADAM18,0.0007343777
ADGRF5,0.00073310337
C3,0.00072937587
LRRC7,0.00072721427
FSIP2,0.0007252749
SCN3A,0.0007233313
SLITRK3,0.0007197765
CTTNBP2,0.00071728346
ANKRD30A,0.00071503455
PRRC2A,0.00070769
EIF4G3,0.00070644834
SRRM2,0.00070250814
ZNF479,0.0006965743
MYOCD,0.0006943377
ALPK3,0.00069261965
EPHB1,0.0006864049
PCDHB7,0.00068613066
TRIOBP,0.00068477454
GFRAL,0.00067905744
KMT2E,0.0006763021
SLCO1B1,0.0006749549
NLRP2,0.0006746743
PLB1,0.0006694956
BCL9L,0.0006690052
MUC4,0.00066231884
PTPRZ1,0.0006612211
PCDHA5,0.00065490947
NCOA3,0.00065212045
SIPA1L2,0.00064947124
IFT172,0.0006494571
PCDHB8,0.0006490783
ABCA9,0.00064099446
STYXL2,0.00063977105
MAP2,0.00063911034
GLI2,0.00063752435
ATP9A,0.0006362001
SDK2,0.00063224934
A1CF,0.00063142687
KIAA1755,0.00062588387
LAMC1,0.0006221287
CELSR2,0.00062189705
SNCAIP,0.00061671616
LRRK2,0.00061367644
SGIP1,0.0006131626
CNKSR2,0.000611781
USP6,0.00061089685
DOP1A,0.00060869043
NES,0.00060502806
MIA3,0.0006047697
ADAMTS16,0.0005973452
STAG2,0.00059734186
CTNND2,0.0005944807
PCDHGB2,0.0005939794
